"hospital","id","category","procedures","deaths","mort_rate","mort_rate_overall","EMR","total_procedures","overall_deaths","cat1","cat2","cat3","cat4","cat5","prop_5","prop_4","prop_45","teaching","trauma_level","helipad","ped_trauma","ped_trauma_level","nbeds","npediatricbeds","nbassinets","rural","nicu","nicu_level","top50_ped_anyspecialty","top50_ped_cardio","rank_ped_cardio","top50_ped_pulm","rank_ped_pulm"
"Children's Hospital of Wisconsin",1750482022,"Category 5",51,5,0.0980392156862745,0.0237564959168523,0.128,1347,32,331,476,221,268,51,0.0378619153674833,0.198960653303638,0.236822568671121,1,1,1,1,1,298,298,70,0,1,4,1,1,18,1,15
"Children's Hospitals and Clinics of Minnesota",1881793750,"Category 1",323,0,0,0.0372010628875111,0.004,1129,42,323,399,141,205,61,0.054030115146147,0.181576616474756,0.235606731620903,1,1,1,1,1,381,381,200,0,1,4,1,0,NA,1,44
"Children's Hospitals and Clinics of Minnesota",1881793750,"Category 2",399,3,0.0075187969924812,0.0372010628875111,0.016,1129,42,323,399,141,205,61,0.054030115146147,0.181576616474756,0.235606731620903,1,1,1,1,1,381,381,200,0,1,4,1,0,NA,1,44
"Children's Hospitals and Clinics of Minnesota",1881793750,"Category 3",141,4,0.0283687943262411,0.0372010628875111,0.021,1129,42,323,399,141,205,61,0.054030115146147,0.181576616474756,0.235606731620903,1,1,1,1,1,381,381,200,0,1,4,1,0,NA,1,44
"Children's Hospitals and Clinics of Minnesota",1881793750,"Category 4",205,23,0.11219512195122,0.0372010628875111,0.071,1129,42,323,399,141,205,61,0.054030115146147,0.181576616474756,0.235606731620903,1,1,1,1,1,381,381,200,0,1,4,1,0,NA,1,44
"Children's Hospitals and Clinics of Minnesota",1881793750,"Category 5",61,12,0.19672131147541,0.0372010628875111,0.162,1129,42,323,399,141,205,61,0.054030115146147,0.181576616474756,0.235606731620903,1,1,1,1,1,381,381,200,0,1,4,1,0,NA,1,44
"Children's Memorial Hermann Hospital",1982666111,"Category 1",210,1,0.00476190476190476,0.0266836086404066,0.005,787,21,210,246,89,189,53,0.0673443456162643,0.240152477763659,0.307496823379924,1,1,1,1,1,310,234,118,0,1,4,1,1,22,0,NA
"Children's Memorial Hermann Hospital",1982666111,"Category 2",246,5,0.0203252032520325,0.0266836086404066,0.021,787,21,210,246,89,189,53,0.0673443456162643,0.240152477763659,0.307496823379924,1,1,1,1,1,310,234,118,0,1,4,1,1,22,0,NA
"Children's Memorial Hermann Hospital",1982666111,"Category 3",89,0,0,0.0266836086404066,0.025,787,21,210,246,89,189,53,0.0673443456162643,0.240152477763659,0.307496823379924,1,1,1,1,1,310,234,118,0,1,4,1,1,22,0,NA
"Children's Memorial Hermann Hospital",1982666111,"Category 4",189,11,0.0582010582010582,0.0266836086404066,0.086,787,21,210,246,89,189,53,0.0673443456162643,0.240152477763659,0.307496823379924,1,1,1,1,1,310,234,118,0,1,4,1,1,22,0,NA
"Children's Memorial Hermann Hospital",1982666111,"Category 5",53,4,0.0754716981132075,0.0266836086404066,0.166,787,21,210,246,89,189,53,0.0673443456162643,0.240152477763659,0.307496823379924,1,1,1,1,1,310,234,118,0,1,4,1,1,22,0,NA
"Children's Mercy Kansas City",1366515488,"Category 1",394,1,0.00253807106598985,0.0220700152207002,0.003,1314,29,394,414,154,283,69,0.0525114155251142,0.215372907153729,0.267884322678843,1,1,1,1,1,367,367,80,0,1,4,1,1,23,1,35
"Children's Mercy Kansas City",1366515488,"Category 2",414,5,0.0120772946859903,0.0220700152207002,0.012,1314,29,394,414,154,283,69,0.0525114155251142,0.215372907153729,0.267884322678843,1,1,1,1,1,367,367,80,0,1,4,1,1,23,1,35
"Children's Mercy Kansas City",1366515488,"Category 3",154,2,0.012987012987013,0.0220700152207002,0.019,1314,29,394,414,154,283,69,0.0525114155251142,0.215372907153729,0.267884322678843,1,1,1,1,1,367,367,80,0,1,4,1,1,23,1,35
"Children's Mercy Kansas City",1366515488,"Category 4",283,12,0.0424028268551237,0.0220700152207002,0.06,1314,29,394,414,154,283,69,0.0525114155251142,0.215372907153729,0.267884322678843,1,1,1,1,1,367,367,80,0,1,4,1,1,23,1,35
"Children's Mercy Kansas City",1366515488,"Category 5",69,9,0.130434782608696,0.0220700152207002,0.109,1314,29,394,414,154,283,69,0.0525114155251142,0.215372907153729,0.267884322678843,1,1,1,1,1,367,367,80,0,1,4,1,1,23,1,35
"CHOC Children's Hospital",1811080526,"Category 1",175,2,0.0114285714285714,0.0170357751277683,0.003,587,10,175,214,61,127,10,0.0170357751277683,0.216354344122658,0.233390119250426,1,2,1,1,2,316,316,91,0,1,4,1,0,NA,1,27
"CHOC Children's Hospital",1811080526,"Category 2",214,1,0.00467289719626168,0.0170357751277683,0.015,587,10,175,214,61,127,10,0.0170357751277683,0.216354344122658,0.233390119250426,1,2,1,1,2,316,316,91,0,1,4,1,0,NA,1,27
"CHOC Children's Hospital",1811080526,"Category 3",61,1,0.0163934426229508,0.0170357751277683,0.02,587,10,175,214,61,127,10,0.0170357751277683,0.216354344122658,0.233390119250426,1,2,1,1,2,316,316,91,0,1,4,1,0,NA,1,27
"CHOC Children's Hospital",1811080526,"Category 4",127,3,0.0236220472440945,0.0170357751277683,0.051,587,10,175,214,61,127,10,0.0170357751277683,0.216354344122658,0.233390119250426,1,2,1,1,2,316,316,91,0,1,4,1,0,NA,1,27
"CHOC Children's Hospital",1811080526,"Category 5",10,3,0.3,0.0170357751277683,0.129,587,10,175,214,61,127,10,0.0170357751277683,0.216354344122658,0.233390119250426,1,2,1,1,2,316,316,91,0,1,4,1,0,NA,1,27
"Cincinnati Children's Hospital Medical Center",1609915784,"Category 1",276,1,0.0036231884057971,0.039647577092511,0.004,1362,54,276,497,179,339,71,0.052129221732746,0.248898678414097,0.301027900146843,1,1,1,1,1,692,692,59,0,1,4,1,1,14,1,4
"Cincinnati Children's Hospital Medical Center",1609915784,"Category 2",497,11,0.0221327967806841,0.039647577092511,0.019,1362,54,276,497,179,339,71,0.052129221732746,0.248898678414097,0.301027900146843,1,1,1,1,1,692,692,59,0,1,4,1,1,14,1,4
"Cincinnati Children's Hospital Medical Center",1609915784,"Category 3",179,4,0.0223463687150838,0.039647577092511,0.025,1362,54,276,497,179,339,71,0.052129221732746,0.248898678414097,0.301027900146843,1,1,1,1,1,692,692,59,0,1,4,1,1,14,1,4
"Cincinnati Children's Hospital Medical Center",1609915784,"Category 4",339,31,0.0914454277286136,0.039647577092511,0.077,1362,54,276,497,179,339,71,0.052129221732746,0.248898678414097,0.301027900146843,1,1,1,1,1,692,692,59,0,1,4,1,1,14,1,4
"Cincinnati Children's Hospital Medical Center",1609915784,"Category 5",71,7,0.0985915492957746,0.039647577092511,0.12,1362,54,276,497,179,339,71,0.052129221732746,0.248898678414097,0.301027900146843,1,1,1,1,1,692,692,59,0,1,4,1,1,14,1,4
"Cleveland Clinic",1679525919,"Category 1",188,0,0,0.0176767676767677,0.003,792,14,188,312,99,165,28,0.0353535353535354,0.208333333333333,0.243686868686869,1,1,1,1,1,389,389,72,0,1,3,1,1,15,1,32
"Cleveland Clinic",1679525919,"Category 2",312,4,0.0128205128205128,0.0176767676767677,0.011,792,14,188,312,99,165,28,0.0353535353535354,0.208333333333333,0.243686868686869,1,1,1,1,1,389,389,72,0,1,3,1,1,15,1,32
"Cleveland Clinic",1679525919,"Category 3",99,1,0.0101010101010101,0.0176767676767677,0.019,792,14,188,312,99,165,28,0.0353535353535354,0.208333333333333,0.243686868686869,1,1,1,1,1,389,389,72,0,1,3,1,1,15,1,32
"Cleveland Clinic",1679525919,"Category 4",165,7,0.0424242424242424,0.0176767676767677,0.05,792,14,188,312,99,165,28,0.0353535353535354,0.208333333333333,0.243686868686869,1,1,1,1,1,389,389,72,0,1,3,1,1,15,1,32
"Cleveland Clinic",1679525919,"Category 5",28,2,0.0714285714285714,0.0176767676767677,0.108,792,14,188,312,99,165,28,0.0353535353535354,0.208333333333333,0.243686868686869,1,1,1,1,1,389,389,72,0,1,3,1,1,15,1,32
"CMC-Levine Children's Hospital",1699829887,"Category 1",363,0,0,0.0237892948173322,0.003,1177,28,363,433,103,221,57,0.048428207306712,0.187765505522515,0.236193712829227,1,1,1,1,1,234,234,85,0,1,4,1,1,35,1,35
"CMC-Levine Children's Hospital",1699829887,"Category 2",433,8,0.0184757505773672,0.0237892948173322,0.017,1177,28,363,433,103,221,57,0.048428207306712,0.187765505522515,0.236193712829227,1,1,1,1,1,234,234,85,0,1,4,1,1,35,1,35
"CMC-Levine Children's Hospital",1699829887,"Category 3",103,1,0.00970873786407767,0.0237892948173322,0.023,1177,28,363,433,103,221,57,0.048428207306712,0.187765505522515,0.236193712829227,1,1,1,1,1,234,234,85,0,1,4,1,1,35,1,35
"CMC-Levine Children's Hospital",1699829887,"Category 4",221,13,0.0588235294117647,0.0237892948173322,0.074,1177,28,363,433,103,221,57,0.048428207306712,0.187765505522515,0.236193712829227,1,1,1,1,1,234,234,85,0,1,4,1,1,35,1,35
"CMC-Levine Children's Hospital",1699829887,"Category 5",57,6,0.105263157894737,0.0237892948173322,0.206,1177,28,363,433,103,221,57,0.048428207306712,0.187765505522515,0.236193712829227,1,1,1,1,1,234,234,85,0,1,4,1,1,35,1,35
"Cohen Children's Medical Center of New York",1174530349,"Category 1",186,2,0.010752688172043,0.0276381909547739,0.004,398,11,186,89,53,61,9,0.0226130653266332,0.153266331658291,0.175879396984925,1,1,1,1,1,202,202,57,0,1,4,1,0,NA,1,30
"Cohen Children's Medical Center of New York",1174530349,"Category 2",89,1,0.0112359550561798,0.0276381909547739,0.016,398,11,186,89,53,61,9,0.0226130653266332,0.153266331658291,0.175879396984925,1,1,1,1,1,202,202,57,0,1,4,1,0,NA,1,30
"Cohen Children's Medical Center of New York",1174530349,"Category 3",53,2,0.0377358490566038,0.0276381909547739,0.022,398,11,186,89,53,61,9,0.0226130653266332,0.153266331658291,0.175879396984925,1,1,1,1,1,202,202,57,0,1,4,1,0,NA,1,30
"Cohen Children's Medical Center of New York",1174530349,"Category 4",61,4,0.0655737704918033,0.0276381909547739,0.058,398,11,186,89,53,61,9,0.0226130653266332,0.153266331658291,0.175879396984925,1,1,1,1,1,202,202,57,0,1,4,1,0,NA,1,30
"Cohen Children's Medical Center of New York",1174530349,"Category 5",9,2,0.222222222222222,0.0276381909547739,0.174,398,11,186,89,53,61,9,0.0226130653266332,0.153266331658291,0.175879396984925,1,1,1,1,1,202,202,57,0,1,4,1,0,NA,1,30
"Connecticut Children's Medical Center",1215947387,"Category 1",124,0,0,0.00398406374501992,0.003,251,1,124,61,29,32,5,0.0199203187250996,0.127490039840637,0.147410358565737,1,1,1,1,1,187,187,NA,0,1,4,1,0,NA,0,NA
"Connecticut Children's Medical Center",1215947387,"Category 2",61,0,0,0.00398406374501992,0.015,251,1,124,61,29,32,5,0.0199203187250996,0.127490039840637,0.147410358565737,1,1,1,1,1,187,187,NA,0,1,4,1,0,NA,0,NA
"Connecticut Children's Medical Center",1215947387,"Category 3",29,1,0.0344827586206897,0.00398406374501992,0.026,251,1,124,61,29,32,5,0.0199203187250996,0.127490039840637,0.147410358565737,1,1,1,1,1,187,187,NA,0,1,4,1,0,NA,0,NA
"Connecticut Children's Medical Center",1215947387,"Category 4",32,0,0,0.00398406374501992,0.054,251,1,124,61,29,32,5,0.0199203187250996,0.127490039840637,0.147410358565737,1,1,1,1,1,187,187,NA,0,1,4,1,0,NA,0,NA
"Connecticut Children's Medical Center",1215947387,"Category 5",5,0,0,0.00398406374501992,0.185,251,1,124,61,29,32,5,0.0199203187250996,0.127490039840637,0.147410358565737,1,1,1,1,1,187,187,NA,0,1,4,1,0,NA,0,NA
"Cook Children's Medical Center",1891765178,"Category 1",239,1,0.00418410041841004,0.0265866209262436,0.005,1166,31,239,433,151,281,62,0.0531732418524871,0.240994854202401,0.294168096054889,1,2,1,1,2,430,430,99,0,1,4,1,0,NA,0,NA
"Cook Children's Medical Center",1891765178,"Category 2",433,6,0.0138568129330254,0.0265866209262436,0.017,1166,31,239,433,151,281,62,0.0531732418524871,0.240994854202401,0.294168096054889,1,2,1,1,2,430,430,99,0,1,4,1,0,NA,0,NA
"Cook Children's Medical Center",1891765178,"Category 3",151,1,0.00662251655629139,0.0265866209262436,0.025,1166,31,239,433,151,281,62,0.0531732418524871,0.240994854202401,0.294168096054889,1,2,1,1,2,430,430,99,0,1,4,1,0,NA,0,NA
"Cook Children's Medical Center",1891765178,"Category 4",281,16,0.0569395017793594,0.0265866209262436,0.07,1166,31,239,433,151,281,62,0.0531732418524871,0.240994854202401,0.294168096054889,1,2,1,1,2,430,430,99,0,1,4,1,0,NA,0,NA
"Cook Children's Medical Center",1891765178,"Category 5",62,7,0.112903225806452,0.0265866209262436,0.222,1166,31,239,433,151,281,62,0.0531732418524871,0.240994854202401,0.294168096054889,1,2,1,1,2,430,430,99,0,1,4,1,0,NA,0,NA
"Dell Children's Medical Center",1447355771,"Category 1",176,4,0.0227272727272727,0.027431421446384,0.003,401,11,176,114,54,56,1,0.00249376558603491,0.139650872817955,0.14214463840399,1,1,1,1,1,248,248,30,0,1,4,0,0,NA,0,NA
"Dell Children's Medical Center",1447355771,"Category 2",114,2,0.0175438596491228,0.027431421446384,0.01,401,11,176,114,54,56,1,0.00249376558603491,0.139650872817955,0.14214463840399,1,1,1,1,1,248,248,30,0,1,4,0,0,NA,0,NA
"Dell Children's Medical Center",1447355771,"Category 3",54,2,0.037037037037037,0.027431421446384,0.016,401,11,176,114,54,56,1,0.00249376558603491,0.139650872817955,0.14214463840399,1,1,1,1,1,248,248,30,0,1,4,0,0,NA,0,NA
"Dell Children's Medical Center",1447355771,"Category 4",56,2,0.0357142857142857,0.027431421446384,0.031,401,11,176,114,54,56,1,0.00249376558603491,0.139650872817955,0.14214463840399,1,1,1,1,1,248,248,30,0,1,4,0,0,NA,0,NA
"Dell Children's Medical Center",1447355771,"Category 5",1,1,1,0.027431421446384,0.077,401,11,176,114,54,56,1,0.00249376558603491,0.139650872817955,0.14214463840399,1,1,1,1,1,248,248,30,0,1,4,0,0,NA,0,NA
"Doernbecher Children's Hospital/Oregon Health & Science University",1609824010,"Category 1",242,0,0,0.0273224043715847,0.004,732,20,242,231,88,134,37,0.0505464480874317,0.183060109289617,0.233606557377049,1,1,1,1,1,145,145,46,0,1,4,1,0,NA,0,NA
"Doernbecher Children's Hospital/Oregon Health & Science University",1609824010,"Category 2",231,4,0.0173160173160173,0.0273224043715847,0.014,732,20,242,231,88,134,37,0.0505464480874317,0.183060109289617,0.233606557377049,1,1,1,1,1,145,145,46,0,1,4,1,0,NA,0,NA
"Doernbecher Children's Hospital/Oregon Health & Science University",1609824010,"Category 3",88,0,0,0.0273224043715847,0.016,732,20,242,231,88,134,37,0.0505464480874317,0.183060109289617,0.233606557377049,1,1,1,1,1,145,145,46,0,1,4,1,0,NA,0,NA
"Doernbecher Children's Hospital/Oregon Health & Science University",1609824010,"Category 4",134,10,0.0746268656716418,0.0273224043715847,0.067,732,20,242,231,88,134,37,0.0505464480874317,0.183060109289617,0.233606557377049,1,1,1,1,1,145,145,46,0,1,4,1,0,NA,0,NA
"Doernbecher Children's Hospital/Oregon Health & Science University",1609824010,"Category 5",37,6,0.162162162162162,0.0273224043715847,0.154,732,20,242,231,88,134,37,0.0505464480874317,0.183060109289617,0.233606557377049,1,1,1,1,1,145,145,46,0,1,4,1,0,NA,0,NA
"Duke University Hospital",1992703540,"Category 1",307,0,0,0.041036717062635,0.003,926,38,307,305,79,206,29,0.031317494600432,0.222462203023758,0.25377969762419,1,1,1,1,1,957,240,67,0,1,4,1,1,35,0,NA
"Duke University Hospital",1992703540,"Category 2",305,7,0.0229508196721311,0.041036717062635,0.014,926,38,307,305,79,206,29,0.031317494600432,0.222462203023758,0.25377969762419,1,1,1,1,1,957,240,67,0,1,4,1,1,35,0,NA
"Duke University Hospital",1992703540,"Category 3",79,4,0.0506329113924051,0.041036717062635,0.026,926,38,307,305,79,206,29,0.031317494600432,0.222462203023758,0.25377969762419,1,1,1,1,1,957,240,67,0,1,4,1,1,35,0,NA
"Duke University Hospital",1992703540,"Category 4",206,23,0.111650485436893,0.041036717062635,0.072,926,38,307,305,79,206,29,0.031317494600432,0.222462203023758,0.25377969762419,1,1,1,1,1,957,240,67,0,1,4,1,1,35,0,NA
"Duke University Hospital",1992703540,"Category 5",29,4,0.137931034482759,0.041036717062635,0.151,926,38,307,305,79,206,29,0.031317494600432,0.222462203023758,0.25377969762419,1,1,1,1,1,957,240,67,0,1,4,1,1,35,0,NA
"Florida Hospital for Children",1457500191,"Category 1",126,1,0.00793650793650794,0.0327102803738318,0.003,428,14,126,183,38,74,7,0.0163551401869159,0.172897196261682,0.189252336448598,1,1,1,1,1,198,198,81,0,1,4,1,0,NA,0,NA
"Florida Hospital for Children",1457500191,"Category 2",183,3,0.0163934426229508,0.0327102803738318,0.013,428,14,126,183,38,74,7,0.0163551401869159,0.172897196261682,0.189252336448598,1,1,1,1,1,198,198,81,0,1,4,1,0,NA,0,NA
"Florida Hospital for Children",1457500191,"Category 3",38,1,0.0263157894736842,0.0327102803738318,0.022,428,14,126,183,38,74,7,0.0163551401869159,0.172897196261682,0.189252336448598,1,1,1,1,1,198,198,81,0,1,4,1,0,NA,0,NA
"Florida Hospital for Children",1457500191,"Category 4",74,9,0.121621621621622,0.0327102803738318,0.066,428,14,126,183,38,74,7,0.0163551401869159,0.172897196261682,0.189252336448598,1,1,1,1,1,198,198,81,0,1,4,1,0,NA,0,NA
"Florida Hospital for Children",1457500191,"Category 5",7,0,0,0.0327102803738318,0.139,428,14,126,183,38,74,7,0.0163551401869159,0.172897196261682,0.189252336448598,1,1,1,1,1,198,198,81,0,1,4,1,0,NA,0,NA
"Geisinger Medical Center",1235215427,"Category 1",43,0,0,0,0.003,116,0,43,49,8,16,NA,NA,0.137931034482759,NA,1,1,1,1,2,594,91,41,1,1,4,0,0,NA,0,NA
"Geisinger Medical Center",1235215427,"Category 2",49,0,0,0,0.013,116,0,43,49,8,16,NA,NA,0.137931034482759,NA,1,1,1,1,2,594,91,41,1,1,4,0,0,NA,0,NA
"Geisinger Medical Center",1235215427,"Category 3",8,0,0,0,0.018,116,0,43,49,8,16,NA,NA,0.137931034482759,NA,1,1,1,1,2,594,91,41,1,1,4,0,0,NA,0,NA
"Geisinger Medical Center",1235215427,"Category 4",16,0,0,0,0.04,116,0,43,49,8,16,NA,NA,0.137931034482759,NA,1,1,1,1,2,594,91,41,1,1,4,0,0,NA,0,NA
"Helen DeVos Children's Hospital",1922090554,"Category 1",216,0,0,0.0114613180515759,0.004,698,8,216,207,113,137,25,0.0358166189111748,0.196275071633238,0.232091690544413,1,1,1,1,1,241,241,108,0,1,4,1,1,34,1,45
"Helen DeVos Children's Hospital",1922090554,"Category 2",207,1,0.00483091787439614,0.0114613180515759,0.018,698,8,216,207,113,137,25,0.0358166189111748,0.196275071633238,0.232091690544413,1,1,1,1,1,241,241,108,0,1,4,1,1,34,1,45
"Helen DeVos Children's Hospital",1922090554,"Category 3",113,0,0,0.0114613180515759,0.025,698,8,216,207,113,137,25,0.0358166189111748,0.196275071633238,0.232091690544413,1,1,1,1,1,241,241,108,0,1,4,1,1,34,1,45
"Helen DeVos Children's Hospital",1922090554,"Category 4",137,5,0.0364963503649635,0.0114613180515759,0.075,698,8,216,207,113,137,25,0.0358166189111748,0.196275071633238,0.232091690544413,1,1,1,1,1,241,241,108,0,1,4,1,1,34,1,45
"Helen DeVos Children's Hospital",1922090554,"Category 5",25,2,0.08,0.0114613180515759,0.141,698,8,216,207,113,137,25,0.0358166189111748,0.196275071633238,0.232091690544413,1,1,1,1,1,241,241,108,0,1,4,1,1,34,1,45
"Inova Children's Hospital",1831220714,"Category 1",170,2,0.0117647058823529,0.0423387096774194,0.004,496,21,170,174,55,90,7,0.0141129032258065,0.181451612903226,0.195564516129032,1,1,1,1,1,226,226,108,1,1,4,0,0,NA,0,NA
"Inova Children's Hospital",1831220714,"Category 2",174,7,0.0402298850574713,0.0423387096774194,0.012,496,21,170,174,55,90,7,0.0141129032258065,0.181451612903226,0.195564516129032,1,1,1,1,1,226,226,108,1,1,4,0,0,NA,0,NA
"Inova Children's Hospital",1831220714,"Category 3",55,4,0.0727272727272727,0.0423387096774194,0.029,496,21,170,174,55,90,7,0.0141129032258065,0.181451612903226,0.195564516129032,1,1,1,1,1,226,226,108,1,1,4,0,0,NA,0,NA
"Inova Children's Hospital",1831220714,"Category 4",90,5,0.0555555555555556,0.0423387096774194,0.047,496,21,170,174,55,90,7,0.0141129032258065,0.181451612903226,0.195564516129032,1,1,1,1,1,226,226,108,1,1,4,0,0,NA,0,NA
"Inova Children's Hospital",1831220714,"Category 5",7,3,0.428571428571429,0.0423387096774194,0.125,496,21,170,174,55,90,7,0.0141129032258065,0.181451612903226,0.195564516129032,1,1,1,1,1,226,226,108,1,1,4,0,0,NA,0,NA
"Jackson Memorial Hospital",1225033020,"Category 1",123,2,0.016260162601626,0.036144578313253,0.003,332,12,123,110,22,70,7,0.0210843373493976,0.210843373493976,0.231927710843373,1,1,1,1,1,1550,245,126,0,1,3,1,0,NA,0,NA
"Jackson Memorial Hospital",1225033020,"Category 2",110,1,0.00909090909090909,0.036144578313253,0.011,332,12,123,110,22,70,7,0.0210843373493976,0.210843373493976,0.231927710843373,1,1,1,1,1,1550,245,126,0,1,3,1,0,NA,0,NA
"Jackson Memorial Hospital",1225033020,"Category 3",22,0,0,0.036144578313253,0.024,332,12,123,110,22,70,7,0.0210843373493976,0.210843373493976,0.231927710843373,1,1,1,1,1,1550,245,126,0,1,3,1,0,NA,0,NA
"Jackson Memorial Hospital",1225033020,"Category 4",70,8,0.114285714285714,0.036144578313253,0.048,332,12,123,110,22,70,7,0.0210843373493976,0.210843373493976,0.231927710843373,1,1,1,1,1,1550,245,126,0,1,3,1,0,NA,0,NA
"Jackson Memorial Hospital",1225033020,"Category 5",7,1,0.142857142857143,0.036144578313253,0.14,332,12,123,110,22,70,7,0.0210843373493976,0.210843373493976,0.231927710843373,1,1,1,1,1,1550,245,126,0,1,3,1,0,NA,0,NA
"Joe DiMaggio Children's Hospital",1306177589,"Category 1",169,2,0.0118343195266272,0.0369068541300527,0.003,569,21,169,182,55,136,27,0.0474516695957821,0.239015817223199,0.286467486818981,1,1,1,1,1,226,226,84,0,1,3,1,1,48,0,NA
"Joe DiMaggio Children's Hospital",1306177589,"Category 2",182,4,0.021978021978022,0.0369068541300527,0.016,569,21,169,182,55,136,27,0.0474516695957821,0.239015817223199,0.286467486818981,1,1,1,1,1,226,226,84,0,1,3,1,1,48,0,NA
"Joe DiMaggio Children's Hospital",1306177589,"Category 3",55,2,0.0363636363636364,0.0369068541300527,0.025,569,21,169,182,55,136,27,0.0474516695957821,0.239015817223199,0.286467486818981,1,1,1,1,1,226,226,84,0,1,3,1,1,48,0,NA
"Joe DiMaggio Children's Hospital",1306177589,"Category 4",136,8,0.0588235294117647,0.0369068541300527,0.065,569,21,169,182,55,136,27,0.0474516695957821,0.239015817223199,0.286467486818981,1,1,1,1,1,226,226,84,0,1,3,1,1,48,0,NA
"Joe DiMaggio Children's Hospital",1306177589,"Category 5",27,5,0.185185185185185,0.0369068541300527,0.105,569,21,169,182,55,136,27,0.0474516695957821,0.239015817223199,0.286467486818981,1,1,1,1,1,226,226,84,0,1,3,1,1,48,0,NA
"Johns Hopkins All Children's Hospital",1427114099,"Category 1",185,0,0,0.0354609929078014,0.004,705,25,185,263,58,156,43,0.0609929078014184,0.221276595744681,0.282269503546099,1,2,1,1,2,259,NA,97,0,1,4,1,0,NA,1,47
"Johns Hopkins All Children's Hospital",1427114099,"Category 2",263,3,0.0114068441064639,0.0354609929078014,0.014,705,25,185,263,58,156,43,0.0609929078014184,0.221276595744681,0.282269503546099,1,2,1,1,2,259,NA,97,0,1,4,1,0,NA,1,47
"Johns Hopkins All Children's Hospital",1427114099,"Category 3",58,4,0.0689655172413793,0.0354609929078014,0.025,705,25,185,263,58,156,43,0.0609929078014184,0.221276595744681,0.282269503546099,1,2,1,1,2,259,NA,97,0,1,4,1,0,NA,1,47
"Johns Hopkins All Children's Hospital",1427114099,"Category 4",156,12,0.0769230769230769,0.0354609929078014,0.063,705,25,185,263,58,156,43,0.0609929078014184,0.221276595744681,0.282269503546099,1,2,1,1,2,259,NA,97,0,1,4,1,0,NA,1,47
"Johns Hopkins All Children's Hospital",1427114099,"Category 5",43,6,0.13953488372093,0.0354609929078014,0.116,705,25,185,263,58,156,43,0.0609929078014184,0.221276595744681,0.282269503546099,1,2,1,1,2,259,NA,97,0,1,4,1,0,NA,1,47
"Le Bonheur Children's Hospital",1386709871,"Category 1",345,1,0.00289855072463768,0.0235756385068762,0.005,1018,24,345,286,87,260,40,0.0392927308447937,0.255402750491159,0.294695481335953,1,1,1,1,1,255,NA,60,0,1,4,1,1,13,1,46
"Le Bonheur Children's Hospital",1386709871,"Category 2",286,2,0.00699300699300699,0.0235756385068762,0.019,1018,24,345,286,87,260,40,0.0392927308447937,0.255402750491159,0.294695481335953,1,1,1,1,1,255,NA,60,0,1,4,1,1,13,1,46
"Le Bonheur Children's Hospital",1386709871,"Category 3",87,2,0.0229885057471264,0.0235756385068762,0.03,1018,24,345,286,87,260,40,0.0392927308447937,0.255402750491159,0.294695481335953,1,1,1,1,1,255,NA,60,0,1,4,1,1,13,1,46
"Le Bonheur Children's Hospital",1386709871,"Category 4",260,12,0.0461538461538462,0.0235756385068762,0.077,1018,24,345,286,87,260,40,0.0392927308447937,0.255402750491159,0.294695481335953,1,1,1,1,1,255,NA,60,0,1,4,1,1,13,1,46
"Le Bonheur Children's Hospital",1386709871,"Category 5",40,7,0.175,0.0235756385068762,0.223,1018,24,345,286,87,260,40,0.0392927308447937,0.255402750491159,0.294695481335953,1,1,1,1,1,255,NA,60,0,1,4,1,1,13,1,46
"Loma Linda University Medical Center and Children's Hospital",1194731935,"Category 1",218,3,0.0137614678899083,0.0441379310344828,0.006,725,32,218,225,63,185,34,0.0468965517241379,0.255172413793103,0.302068965517241,1,1,1,1,1,343,NA,84,0,1,4,0,0,NA,0,NA
"Loma Linda University Medical Center and Children's Hospital",1194731935,"Category 2",225,2,0.00888888888888889,0.0441379310344828,0.016,725,32,218,225,63,185,34,0.0468965517241379,0.255172413793103,0.302068965517241,1,1,1,1,1,343,NA,84,0,1,4,0,0,NA,0,NA
"Loma Linda University Medical Center and Children's Hospital",1194731935,"Category 3",63,3,0.0476190476190476,0.0441379310344828,0.024,725,32,218,225,63,185,34,0.0468965517241379,0.255172413793103,0.302068965517241,1,1,1,1,1,343,NA,84,0,1,4,0,0,NA,0,NA
"Loma Linda University Medical Center and Children's Hospital",1194731935,"Category 4",185,17,0.0918918918918919,0.0441379310344828,0.065,725,32,218,225,63,185,34,0.0468965517241379,0.255172413793103,0.302068965517241,1,1,1,1,1,343,NA,84,0,1,4,0,0,NA,0,NA
"Loma Linda University Medical Center and Children's Hospital",1194731935,"Category 5",34,7,0.205882352941176,0.0441379310344828,0.156,725,32,218,225,63,185,34,0.0468965517241379,0.255172413793103,0.302068965517241,1,1,1,1,1,343,NA,84,0,1,4,0,0,NA,0,NA
"Maine Medical Center",1760436216,"Category 1",129,0,0,0.0316455696202532,0.003,316,10,129,107,42,33,5,0.0158227848101266,0.104430379746835,0.120253164556962,1,1,1,1,1,116,NA,31,0,1,3,0,0,NA,0,NA
"Maine Medical Center",1760436216,"Category 2",107,2,0.0186915887850467,0.0316455696202532,0.013,316,10,129,107,42,33,5,0.0158227848101266,0.104430379746835,0.120253164556962,1,1,1,1,1,116,NA,31,0,1,3,0,0,NA,0,NA
